Darkinyung,Darkinyung,bunal,sun,611,N,bunal,sun,bunal,SUN
Awabakal / [K-gai ?,Awabakal,banal,sun,611,N,banal,sun,banal,SUN
Gdg [Gwgl/Wrmi?],Katthang,dugan,sun,611,N,dugan,sun,dugan,SUN
Birrpayi,Birrpayi,dugan,sun,611,N,dugan,sun,dugan,SUN
Birrpayi,Birrpayi,yuråga,sun,611,N,yuråga,sun,juɹåga,SUN
Birrpayi,Birrpayi,dugan,sun,611,N,"dugan, (yuroka, *tornee)",sun,dugan,SUN
Awabakal,Awabakal,banal,sun,611,N,banal,sun,banal,SUN
Awabakal,Awabakal,banal-lu,sun,611,N,banal-lu,sun,banal-lu,SUN
Awabakal,Awabakal,banal,sun,611,N,banal,sun,banal,SUN
Awabakal,Awabakal,banal,sun,611,N,banal,sun,banal,SUN
Awabakal,Awabakal,banål,sun,611,N,banål,sun,banål,SUN
Awabakal,Awabakal,banål,sun,611,N,banål,sun,banål,SUN
Gdg,Katthang,wingan,sun,611,N,wingan,sun,wingan,SUN
Birrpayi,Birrpayi,yuråga,sun,611,N,yuråga,sun,juɹåga,SUN
Birrpayi,Birrpayi,dyugan,sun,611,N,dyugan,sun,ɟugan,SUN
Wonarua,Wonnarua,banal,sun,611,N,banal,sun,banal,SUN
Birrpayi,Birrpayi,yuråga,sun,611,N,yuråga,sun,juɹåga,SUN
Gundungurra,Gundungurra,win-gawa-ra,sun,611,song,win-gawa-ra,sun [?],win-gawa-ɹa,SUN
Gundungurra,Gundungurra,winyu,sun,611,N,winyu,sun,wiɲu,SUN
Gga/Ngwl,Ngunawal,winyu,sun,611,N,winyu,sun,wiɲu,SUN
Gundungurra,Gundungurra,bunyal,sun,611,N,bunyal,sun,buɲal,SUN
Gundungurra,Gundungurra,bandil,sun,611,N,bandil,sun,bandil,SUN
Gundungurra,Gundungurra,bunyal,sun,611,N,bunyal,sun,buɲal,SUN
Gundungurra,Gundungurra,winyal,sun,611,N,winyal,sun,wiɲal,SUN
Gundungurra,Gundungurra,wínyu-wa,sun,611,N,wínyu-wa,sun,wíɲu-wa,SUN
Dharawal,Dharawal,wuri,sun,611,N,wuri,sun,wuɹi,SUN
Gundungurra,Gundungurra,bandil,sun,611,N,bandil,sun,bandil,SUN
Gundungurra,Gundungurra,Bundil,sun,611,N,Bundil,sun,Bundil,SUN
Ngarigo,Ngarigu,mamady,sun,611,N,mamady,sun,mamaɟ,SUN
Dharawal,Dharawal,wuri,sun,611,N,wuri,sun,wuɹi,SUN
Wodi-Wodi,Dharawal,bagarang,sun,611,N,bagarang,sun,bagaɹang,SUN
Wodi-Wodi,Dharawal,wurri,sun,611,N,wurri,sun,wuri,SUN
Wodi-Wodi,Dharawal,bagarang,sun,611,N,bagarang,sun,bagaɹang,SUN
Thurrawal,Dharawal,wirri,sun,611,N,wirri,sun,wiri,SUN
Thurrawal,Dharawal,wirri,sun,611,N,wirri,sun,wiri,SUN
DYRGN,Dhurga,bagrin,sun,611,N,bagrin,sun,bagɹin,SUN
DYRGN,Dhurga,yuråga,sun,611,N,yuråga,sun,juɹåga,SUN
Gundungurra,Gundungurra,wínyu,sun,611,N,wínyu,sun,wíɲu,SUN
DWL?,Dharawal,wårru,sun,611,N,wårru,sun,wåru,SUN
Dhurga,Dhurga,nawa,sun,611,N,nawa,sun,nawa,SUN
Dhurga,Dhurga,bag-gårany,sun,611,N,bag-gårany,sun,bag-gåɹaɲ,SUN
Dhurga,Dhurga,bág-garany,sun,611,N,bág-garany,sun,bág-gaɹaɲ,SUN
Dharuk,Dharuk,keun,sun,611,N,keun,sun,keun,SUN
Dharuk,Dharuk,kyun,sun,611,N,kyun,sun,kjun,SUN
Dharuk,Dharuk,kun,sun,611,N,kun,sun,kun,SUN
Dharuk,Dharuk,yiluk,sun,611,N,yiluk,sun,jiluk,SUN
Dharuk,Dharuk,condoin,sun,611,N,condoin,sun,condoin,SUN
Ngarigu,Ngarigu,djaua,sun,611,N,djaua,sun,djaua,SUN
Ngaiawang,Ngayawang,nangke,sun,611,N,nangke,the sun,nangke,SUN
Ngarrindjeri,Ngarrindjeri,kalatte,sun,611,N,kalatte,sunlight,kalatte,SUN
Ngarrindjeri,Ngarrindjeri,naŋki,sun,611,N,nanggi,sun,naŋki,SUN
Ngarrindjeri,Ngarrindjeri,nuŋke,sun,611,N,nungge,sun,nuŋke,SUN
Ngarrindjeri,Ngarrindjeri,nunkalowe,sun,611,N,nunkalowe,sunlight,nunkalowe,SUN
Yitha-Yitha,Yitha-Yitha,nang(k)(i),sun,611,N,nang(k)(i),sun,nang(k)(i),SUN
Keramin,Keramin,nangk,sun,611,N,nangk,sun,nangk,SUN
Madhi-Madhi,Mathi-Mathi,nhawiŋi,sun,611,N,nhawingi,sun,n̪awiŋi,SUN
Gandangara,Gundungurra,winyu,sun,611,N,winyu,sun,wiɲu,SUN
Ngunawal,Ngunawal,bakarany,sun,611,N,bakarany,sun,bakaɹaɲ,SUN
Ngunawal,Ngunawal,winyu,sun,611,N,winyu,sun,wiɲu,SUN
Ngarigu,Ngarigu,mamady,sun,611,N,mamady,sun,mamaɟ,SUN
Ngarigu,Ngarigu,bakVrany,sun,611,N,bakVrany,sun,bakVɹaɲ,SUN
The Canberra Language,Ngunawal,pakarany,sun,611,N,bakarany,sun,pakaɹaɲ,SUN
The Canberra Language,Ngunawal,mamaty,sun,611,N,mamady,sun,mamac,SUN
The Canberra Language,Ngunawal,winyu,sun,611,N,winyu,sun (hot?),wiɲu,SUN
Dharawal,Dharawal,wuri,sun,611,N,wuri,sun,wuɹi,SUN
Dhurga,Dhurga,pakariny,sun,611,N,bagAriny,sun,pakaɹiɲ,SUN
Jiringayn,Djirringany,pakarany,sun,611,N,bakarany,sun,pakaɹaɲ,SUN
Jiringayn,Djirringany,nawa,sun,611,N,nawa,sun,nawa,SUN
Dhurga,Dhurga,pakarany,sun,611,N,bagaranj,sun,pakaɹaɲ,SUN
Dharumba,Dharawal,pakara(ny),sun,611,N,bagara(nj),sun,pakaɹa(ɲ),SUN
Dharawal,Dharawal,pakarany,sun,611,N,bagaranj,sun,pakaɹaɲ,SUN
Dharawal,Dharawal,wurV,sun,611,N,"wuru, wuri",sun,wuɹV,SUN
Wathawurrung,Wathawurrung,mirri,sun,611,N,mirri,sun,miri,SUN
Colac,Kolakngat,na (e),sun,611,N,"na (e), naah (d), na (tu), ",sun,na (e),SUN
Colac,Kolakngat,na (l)nare (r),sun,611,N,na (l)nare (r),sun,na (l)naɹe (ɹ),SUN
Tyattyalla,Djadjala,nyani,sun,611,N,nyani,sun,ɲani,SUN
Warrnambool,Warrnambool,ŋanaŋ,sun,611,N,nganang,"sun, day",ŋanaŋ,SUN
Warrnambool,Warrnambool,thirŋ,sun,611,N,thirng,sun,t̪iɹŋ,SUN
Narinari,Nari Nari,nhwaiŋ,sun,611,N,nhwaiŋ,sun,n̪waiŋ,SUN
Dardidardi,Yitha-Yitha,nhaŋg,sun,611,N,nhaŋg,sun,n̪aŋg,SUN
Southern Ngarigu,Ngarigu,djaua,sun,611,,djaua,sun,caua,SUN
Dhurga,Dhurga,pakariny,sun,611,N,baɡAriɲ,sun,pakaɹiɲ,SUN
Dharawal,Dharawal,wuri,sun,611,N,wuri,sun,wuɹi,SUN
Keerraywoorroong,Keerraywoorroong,nganoong tyeereeng,sun,611,N,gnunnung,sun,nganoːng ceːɹeːng,SUN
Keerraywoorroong,Keerraywoorroong,nganoong tyeereeng,sun,611,N,nganong,sun,nganoːng ceːɹeːng,SUN
Keerraywoorroong,Keerraywoorroong,nganoong tyeereeng,sun,611,N,nga ung,sun,nganoːng ceːɹeːng,SUN
Keerraywoorroong,Keerraywoorroong,nganoong tyeereeng,sun,611,N,nunung,sun,nganoːng ceːɹeːng,SUN
Keerraywoorroong,Keerraywoorroong,nganoong tyeereeng,sun,611,N,nuriung,sun,nganoːng ceːɹeːng,SUN
Keerraywoorroong,Keerraywoorroong,nganoong tyeereeng,sun,611,N,un nung,sun,nganoːng ceːɹeːng,SUN
Keerraywoorroong,Keerraywoorroong,nganoong tyeereeng,sun,611,N,uuna,sun,nganoːng ceːɹeːng,SUN
Keerraywoorroong,Keerraywoorroong,nganoong tyeereeng,sun,611,N,un-nong,sun,nganoːng ceːɹeːng,SUN
Keerraywoorroong,Keerraywoorroong,nganoong tyeereeng,sun,611,N,jirrung,sun,nganoːng ceːɹeːng,SUN
Keerraywoorroong,Keerraywoorroong,nganoong tyeereeng,sun,611,N,teer-run,sun,nganoːng ceːɹeːng,SUN
Keerraywoorroong,Keerraywoorroong,nganoong tyeereeng,sun,611,N,terrerng,sun,nganoːng ceːɹeːng,SUN
Keerraywoorroong,Keerraywoorroong,nganoong tyeereeng,sun,611,N,terring,sun,nganoːng ceːɹeːng,SUN
Keerraywoorroong,Keerraywoorroong,nganoong tyeereeng,sun,611,N,terring,sun,nganoːng ceːɹeːng,SUN
Keerraywoorroong,Keerraywoorroong,nganoong tyeereeng,sun,611,N,thering,sun,nganoːng ceːɹeːng,SUN
Keerraywoorroong,Keerraywoorroong,nganoong tyeereeng,sun,611,N,thirrung,sun,nganoːng ceːɹeːng,SUN
Keerraywoorroong,Keerraywoorroong,nganoong tyeereeng,sun,611,N,turrung,sun,nganoːng ceːɹeːng,SUN
Keerraywoorroong,Keerraywoorroong,nganoong tyeereeng,sun,611,N,tirrang,sun,nganoːng ceːɹeːng,SUN
Keerraywoorroong,Keerraywoorroong,nganoong tyeereeng,sun,611,N,tirring,sun,nganoːng ceːɹeːng,SUN
Keerraywoorroong,Keerraywoorroong,nganoong tyeereeng,sun,611,N,tirng,sun,nganoːng ceːɹeːng,SUN
Keerraywoorroong,Keerraywoorroong,nganoong tyeereeng,sun,611,N,tirrum,sun,nganoːng ceːɹeːng,SUN
Keerraywoorroong,Keerraywoorroong,nganoong tyeereeng,sun,611,N,teang,sun,nganoːng ceːɹeːng,SUN
Keerraywoorroong,Keerraywoorroong,nganoong tyeereeng,sun,611,N,derng,sun,nganoːng ceːɹeːng,SUN
Keerraywoorroong,Keerraywoorroong,nganoong tyeereeng,sun,611,N,derug,sun,nganoːng ceːɹeːng,SUN
Keerraywoorroong,Keerraywoorroong,nganoong tyeereeng,sun,611,N,fherne,sun,nganoːng ceːɹeːng,SUN
Keerraywoorroong,Keerraywoorroong,nganoong tyeereeng,sun,611,N,ahearn,sun,nganoːng ceːɹeːng,SUN
Keerraywoorroong,Keerraywoorroong,nganoong tyeereeng,sun,611,N,tirng,sun,nganoːng ceːɹeːng,SUN
Gulawurrung,Gulawurrung,ˈpɑṇṭuḷ,sun,611,,ˈpɑṇṭuḷ,sun,ˈpɑṇṭuḷ,SUN
Thanggatti,Thanggati,thunuwi,sun,611,,dhunuwi,sun,t̪unuwi,SUN
Buwandik,Buwandik,karoo p,sun,611,N,"karroo wt, karoo p, cardoo g [see  ‘light’,’day’]",sun,kaɹoː p,SUN
Port MacQuarie,Birrpayi,tornee,sun,611,N,"eurokar, tornee, tocan",Sun,toɳeː,SUN
Yass,Ngunawal,weenyoo,sun,611,N,"wynen, weenyoo",Sun,weːɲoː,SUN
Birrpayi,Birrpayi,(yuroka,sun,611,N,"dugan, (yuroka, *tornee)",sun,(juɹoka,SUN
Colac,Kolakngat,na:h (d),sun,611,N,"na (e), naah (d), na (tu), ",sun,naːh (d),SUN
Buwandik,Buwandik,cardoo g [see  'liɣt',sun,611,N,"karroo wt, karoo p, cardoo g [see  ‘light’,’day’]",sun,caɖoː g [seː  'liɣt',SUN
Port MacQuarie,Birrpayi,tocan,sun,611,N,"eurokar, tornee, tocan",Sun,tocan,SUN
Birrpayi,Birrpayi,tornee),sun,611,N,"dugan, (yuroka, *tornee)",sun,toɳeː),SUN
Colac,Kolakngat,na (tu),sun,611,N,"na (e), naah (d), na (tu), ",sun,na (tu),SUN
Buwandik,Buwandik,'day'],sun,611,N,"karroo wt, karoo p, cardoo g [see  ‘light’,’day’]",sun,'daj'],SUN
Port Jackson,Dharuk,Werè,sun,611,,Werè,Sun,Weɹè,SUN
Boonwerong,Boonwurrung,naywin,sun,611,,naywin,sun,najwin,SUN
Yass,Ngunawal,bugerken,sun,611,,bugerken,sun,bugeɹken,SUN
Port Jackson,Dharuk,Werè,sun,611,,Werè,Sun,Weɹè,SUN
Kutthung,Katthang,,sun,611,,Too-kun ,the sun,,SUN
Wergaia,Werkaya,nyaui,sun,611,,njaui,sun,ɲaui,
Manning River,Birrpayi,,sun,611,,toonau,sun,,
Hunter River,Wonnarua,,sun,611,,pannal,sun,,
Narinari,Nari Nari,,sun,611,,n_awing,sun,,
Daḍidaḍi,Yitha-Yitha,,sun,611,,n_angg,sun,,
Southern Ngarigu,Ngarigu,,sun,611,,djaua,sun,,
Ngarigu,Ngarigu,"mamaty, pakvrany",sun,611,,"mamady, bakVrany",sun,"mamac, pakvɹaɲ",
Ngunawal,Ngunawal,pakarany,sun,611,,bakarany,sun,pakaɹaɲ,
Ngunawal,Ngunawal,winyu,sun,611,,winyu,sun,wiɲu,
Woiwurrung,Woiwurrung,ŋamai,sun,611,,ngamai,sun,ŋamai,
Woiwurrung,Woiwurrung,ŋawañ,sun,611,,ngawañ,sun,ŋawañ,
Yitha-Yitha,Yitha-Yitha,naŋ(k)(i),sun,611,,nang(k)(i),sun,naŋ(k)(i),
Ngaiawang,Ngayawang,,sun,611,,,sun,,
Ngaiawang,Ngayawang,,sun,611,,,sun,,
Katthang,Katthang,thu:ni; ttyu:kan; win.kin,sun,611,,dhuuni; djuukan; win.gin,sun,t̪uːni; tcuːkan; win.kin,
Letyi-Letyi,Ladji-Ladji,"nhawiŋi, nyawiŋi",sun,611,,"nhawingi, nyawingi",sun,"n̪awiŋi, ɲawiŋi",
Piangil,Piangil,nhayiŋi,sun,611,,nhayingi,sun,n̪ayiŋi,
Wadi-Wadi (Swan Hill),Wadi-wadi,"nhawi(ŋi), nanhawi, yuroka",sun,611,,"nhawi(ngi), nanhawi, yuRoka",sun,"n̪awi(ŋi), nan̪awi, yuɹoka",
Dhudhuroa,Dhudhuroa,nhawayu,sun,611,N,nhawayu,sun,n̪awaju,SUN
Dhudhuroa,Dhudhuroa,nhawayu,sun,611,,nhawayu,sun,n̪awayu,
Ganai,Kurnai,wurin(ɲ),sun,480,N,wurin,,,
Ganai,Kurnai,wurin(ɲ),sun,480,N,roo-run,,,
Ganai,Kurnai,wurin(ɲ),sun,480,N,wurrin,,,
Ganai,Kurnai,wurin(ɲ),sun,480,N,kalyarro,,,
Ganai,Kurnai,wurin(ɲ),sun,480,N,woo-run,,,
Ganai,Kurnai,wurin(ɲ),sun,480,N,woorin,,,
Ganai,Kurnai,wurin(ɲ),sun,480,N,woorrin,,,
Ganai,Kurnai,wurin(ɲ),sun,480,N,worrin,,,
Ganai,Kurnai,wurin(ɲ),sun,480,N,wooreen,,,
Ganai,Kurnai,wurin(ɲ),sun,480,N,wurīn,,,
Ganai,Kurnai,wurin(ɲ),sun,480,N,woorrun,,,
Ganai,Kurnai,wurin(ɲ),sun,480,N,woo-rin,,,
Ganai,Kurnai,wurin(ɲ),sun,480,N,wor-rin,,,
Ganai,Kurnai,wurin(ɲ),sun,480,N,gwarr-râiǧn,,,
Ganai,Kurnai,wurin(ɲ),sun,480,N,whurin,,,
Ganai,Kurnai,wurin(ɲ),sun,480,N,woo-run,,,
Ganai,Kurnai,wurin(ɲ),sun,480,N,wurring,,,
Yabula-Yabula,Yabula-Yabula,wurrgo,sun,611,N,,,,
Yabula-Yabula,Yabula-Yabula,wāgo ,sun,611,N,,,,
Dhudhuroa,Dhudhuroa,nhawayu,sun,611,N,nhawayu,sun,n̪awaju,SUN
Dhudhuroa,Dhudhuroa,nhawayu,sun,611,,nhawayu,sun,n̪awayu,
Buwandik,Buwandik,kapin(a) karru,sunset,2915,N,kapin(a) karru,sunset,kapin(a) karu,SUNSET
Gundungurra,Gundungurra,beet gonya winyoo,sunset,2915,N,beet gonya winyoo,sunset,beːt goɲa wiɲoː,SUNSET
Port MacQuarie,Birrpayi,berriŋkar,sunset,2915,N,berringgar,sunset,beriŋkaɹ,SUNSET
Port MacQuarie,Birrpayi,bringar,sunset,2915,N,bringar,sunset,bɹingaɹ,SUNSET
Wellington,Wellington,karlkallo,sunset,2915,N,karlkallo,Sunset,kaɭkallo,SUNSET
BB,Iyora,gåwing bara-gula,sunset,2915,N,gåwing bara-gula,sunset,gåwing baɹa-gula,SUNSET
BB,Iyora,gåwing bari-gula,sunset,2915,N,gåwing bari-gula,sunset,gåwing baɹi-gula,SUNSET
BB,Iyora,gåwing bara-gula,sunset,2915,N,gåwing bara-gula,sunset,gåwing baɹa-gula,SUNSET
DG?,Dharuk,bari-ba-wal,sunset,2915,N,bari-ba-wal,sunset,baɹi-ba-wal,SUNSET
BB,Iyora,bari-gula,sunset,2915,N,bari-gula,sunset,baɹi-gula,SUNSET
Dharawal,Dharawal,wuri yiri-bå-la-yi,sunset,2915,N,wuri yiri-bå-la-yi,sunset,wuɹi jiɹi-bå-la-ji,SUNSET
Dharawal,Dharawal,dyirráng-Gan,sunset,2915,N,dyirráng-Gan,sunset,ɟiráng-Gan,SUNSET
DYRGN,Dhurga,buguya,sunset,2915,N,buguya,sunset,buguja,SUNSET
Dhurga,Dhurga,bág-garany yirig-bu-yal,sunset,2915,N,bág-garany yirig-bu-yal,sunset,bág-gaɹaɲ jiɹig-bu-jal,SUNSET
Dhurga,Dhurga,yirig,sunset,2915,N,yirig,sunset,jiɹig,SUNSET
Ngaiawang,Ngayawang,karlkalko,sunset,2915,N,karlkalko,sunset,kaɭkalko,SUNSET
Ngarrindjeri,Ngarrindjeri,paŋarinda,sunset,2915,N,pangarinda,sunset,paŋaɹinda,SUNSET
Ngarrindjeri,Ngarrindjeri,wataŋer,sunset,2915,N,watanger,sunset,wataŋeɹ,SUNSET
Ngarrindjeri,Ngarrindjeri,wattaŋeri,sunset,2915,N,wattangeri,sunset,wattaŋeɹi,SUNSET
Ngarrindjeri,Ngarrindjeri,yappulun-nuŋki,sunset,2915,N,yappulun-nunggi,sunset,jappulun-nuŋki,SUNSET
Wathawurrung,Wathawurrung,tali-talik,sunset,2915,N,tali-talik,sunset,tali-talik,SUNSET
Colac,Kolakngat,poinaree,sunset,2915,N,"poinaree (l), ponere (r)",sunset,poinaɹeː,SUNSET
Warrnambool,Warrnambool,kapa ŋanaŋ,sunset,2915,N,kapa nganang,sunset,kapa ŋanaŋ,SUNSET
Warrnambool,Warrnambool,natan thirŋ,sunset,2915,N,natan thirng,sunset,natan t̪iɹŋ,SUNSET
Warrnambool,Warrnambool,ŋuwa thirŋ,sunset,2915,N,nguwa thirng,sunset,ŋuwa t̪iɹŋ,SUNSET
Keerraywoorroong,Keerraywoorroong,kapa ngoonang,sunset,2915,N,kaapa gnuunang,sunset,kapa ngoːnang,SUNSET
Keerraywoorroong,Keerraywoorroong,kapa ngoonang,sunset,2915,N,ki kan tirng,sunset,kapa ngoːnang,SUNSET
Keerraywoorroong,Keerraywoorroong,kapa ngoonang,sunset,2915,N,u-wa-tirring,sunset,kapa ngoːnang,SUNSET
Keerraywoorroong,Keerraywoorroong,kapa ngoonang,sunset,2915,N,nartanderrung,sunset,kapa ngoːnang,SUNSET
Keerraywoorroong,Keerraywoorroong,kapa ngoonang,sunset,2915,N,nartun terrung,sunset,kapa ngoːnang,SUNSET
Keerraywoorroong,Keerraywoorroong,kapa ngoonang,sunset,2915,N,kaapa gnuunang,sundown,kapa ngoːnang,SUNSET
Keerraywoorroong,Keerraywoorroong,kapa ngoonang,sunset,2915,N,ki kan tirng,sundown,kapa ngoːnang,SUNSET
Keerraywoorroong,Keerraywoorroong,kapa ngoonang,sunset,2915,N,u-wa-tirring,sundown,kapa ngoːnang,SUNSET
Keerraywoorroong,Keerraywoorroong,kapa ngoonang,sunset,2915,N,nartanderrung,sundown,kapa ngoːnang,SUNSET
Keerraywoorroong,Keerraywoorroong,kapa ngoonang,sunset,2915,N,nartun terrung,sundown,kapa ngoːnang,SUNSET
Colac,Kolakngat,ponere (r),sunset,2915,N,"poinaree (l), ponere (r)",sunset,poneɹe (ɹ),SUNSET
Katthang,Katthang,parraŋka,sunset,2915,,barrangga,sunset,paraŋka,
Wadi-Wadi (Swan Hill),Wadi-wadi,purtowen n(h)awi,sunset,2915,,purtowen n(h)awi,sunset,puʈowen n(h)awi,
Ganai,Kurnai,,sunset,482,N,cooitbil,,,
Woiwurrung,Woiwurrung,kunuwarra,swan,2265,N,gunuwarra,swan,kunuwara,
Buwandik,Buwandik,kunuwara,swan,2265,N,kunuwara,swan,kunuwaɹa,
Buwandik,Buwandik,mirra….,swan,2265,N,mirra….,swan,mira….,
Port MacQuarie,Birrpayi,kolewonnia,swan,2265,N,kolewonnia,Swan,kolewonnia,
The Manning River,Birrpayi,koolwanuk,swan,2265,N,koolwanuk,Swan,koːlwanuk,
"Port Jackson, or a Part of Sydney Harbour",Dharuk,mul-go,swan,2265,N,mul-go,Swan,mul-go,
Queanbeyan,Ngunawal,gunyuck,swan,2265,N,gunyuck,Swan,guɲuck,
Yass,Ngunawal,doondoo,swan,2265,N,doondoo,Swan,doːndoː,
Moneroo,Moneroo,koonyak,swan,2265,N,koonyak,Swan,koːɲak,
SWAN HILL AND TYNTYNDER,Wadi-wadi,k\onawar,swan,2265,N,k\onawar,Swan,k\onawaɹ,
Piangil,Piangil,dunabogi,swan,2265,N,dunabogi,Swan,dunabogi,
Piangil,Piangil,thanabootch,swan,2265,N,thanabootch,Swan,t̪anaboːtch,
KULKYNE,Mathi-Mathi,koo-no-waŋ,swan,2265,N,koo-no-wang,Swan,koː-no-waŋ,
THE TATIARRA COUNTRY,Bindjali,koonooer,swan,2265,N,koonooer,Swan,koːnoːeɹ,
THE TATIARRA COUNTRY,Bindjali,koonawar,swan,2265,N,koonawar,Swan,koːnawaɹ,
MOUNT GAMBIER,Buwandik,koonowoor,swan,2265,N,koonowoor,Swan,koːnowoːɹ,
"LAKE HINDMARSH, UPPER REGIONS STATION, AND LOWER WIMMERA","Lake Hindmarsh, Upper Regions Station, And Lower Wimmera",koo-noo-war,swan,2265,N,koo-noo-war,Swan,koː-noː-waɹ,
UPPER GLENELG AND WANNON,Mardidjali,koonoowara,swan,2265,N,koonoowara,Swan,koːnoːwaɹa,
"THE GLENELG, ABOVE WOODFORD",Mardidjali,koonoowara,swan,2265,N,koonoowara,Swan,koːnoːwaɹa,
Woodford,Mardidjali,merangurn,swan,2265,N,merangurn,Swan,meɹanguɳ,
Hamilton,Gunditjmara,koonoowar,swan,2265,N,koonoowar,Swan,koːnoːwaɹ,
MOUNT ROUSE; NATIVE NAME KOOLOOR,Gunditjmara,koonoowar,swan,2265,N,koonoowar,Swan,koːnoːwaɹ,
HOPKINS RIVER,Bindjali,koonoowar,swan,2265,N,koonoowar,Swan,koːnoːwaɹ,
HOPKINS RIVER,Bindjali,koonoowarn,swan,2265,N,koonoowarn,Swan,koːnoːwaɳ,
MOULMEIN,Wemba-Wemba,kunawar,swan,2265,N,koonawar,Swan,kunawaɹ,
LAKE BOGA,Wemba-Wemba,quinowar,swan,2265,N,quinowar,Swan,quinowaɹ,
"THE NEIGHBOURHOOD OF LAKE BOGA, PROBABLY MOORERBAT AND THE LOWER LODDON",Wemba-Wemba,kunuwar,swan,2265,N,koonoowar,Swan,kunuwaɹ,
"GONN STATION, MURRAY RIVER",Wemba-Wemba,kunawar,swan,2265,N,koonawar,Swan,kunawaɹ,
GUNBOWER STATION,Baraba Baraba,gunnaworra,swan,2265,N,gunnaworra,Swan,gunnawora,
"KERANG, LODDON RIVER",Wemba-Wemba,kunuwarra,swan,2265,N,koonoowarra,Swan,kunuwara,
"SEYMOUR TO MURCHISON, PART OF GOULBURN RIVER, WHROO, ETC - NGOORAIALUM LANGUAGE",Daungwurrung,k\\oonoowarra,swan,2265,N,k\\oonoowarra,Swan,k\\oːnoːwara,
"HEALESVILLE, UPPER YARRA - OORONGIR LANGUAGE.",Woiwurrung,koonoowara,swan,2265,N,koonoowara,Swan,koːnoːwaɹa,
LOWER YARRA,Lower Yarra,koonwarra,swan,2265,N,koonwarra,Swan,koːnwara,
MORDIYALLOOK,Boonwurrung,koonoowar,swan,2265,N,koonoowar,Swan,koːnoːwaɹ,
Dartmoor,Mardidjali,koonoowarra,swan,2265,N,koonoowarra,swan,koːnoːwara,
Pytu Reach,Ngarrindjeri,kungari,swan,2265,N,kungari,Swan,kungaɹi,
Pytu Reach,Ngarrindjeri,tumakowalli,swan,2265,N,tumakowalli,Swan,tumakowalli,
Yit-Tha,Yitha-Yitha,koolthoo,swan,2265,N,koolthoo,Swan,koːlt̪oː,
"Ned's Corner Station, Murray River",Ngintait,nuncha,swan,2265,N,nuncha,Swan,nuncha,
BB,Iyora,mul-gu,swan,2265,N,mul-gu,swan,mul-gu,
Iyora,Iyora,mul-gu,swan,2265,N,mul-gu,swan,mul-gu,
BB,Iyora,mul-gu,swan,2265,N,mul-gu,swan,mul-gu,
BB,Iyora,mul-gu,swan,2265,N,mul-gu,swan,mul-gu,
Dharuk,Dharuk,mul-gu,swan,2265,N,mul-gu,swan,mul-gu,
Iyora,Iyora,mulgu-wa,swan,2265,N,mulgu-wa,swan,mulgu-wa,
Karree,Karree,gayin-bal,swan,2265,N,gayin-bal,swan,gajin-bal,
Karree,Karree,gayin-bal,swan,2265,N,gayin-bal,swan,gajin-bal,
LD,Awabakal,mulgån,swan,2265,N,mulgån,swan,mulgån,
Gdg?,Katthang,gulwinya,swan,2265,N,gulwinya,swan,gulwiɲa,
Darkinyung,Darkinyung,malgawa,swan,2265,N,malgawa,swan,malgawa,
Darkinyung,Darkinyung,—,swan,2265,N,—,swan,—,
Darkinyung,Darkinyung,mulguwa,swan,2265,N,mulguwa,swan,mulguwa,
Awabakal / [K-gai ?,Awabakal,gunbul,swan,2265,N,gunbul,swan,gunbul,
Gdg [Gwgl/Wrmi?],Katthang,—,swan,2265,N,—,swan,—,
Birrpayi,Birrpayi,gulewania,swan,2265,N,gulewania,swan,gulewania,
Darkinyung,Darkinyung,muriguni,swan,2265,N,muriguni,swan,muɹiguni,
Awabakal,Awabakal,ganbul,swan,2265,N,ganbul,swan,ganbul,
Birrpayi,Birrpayi,gulwanya,swan,2265,N,gulwanya,swan,gulwaɲa,
Birrpayi,Birrpayi,gulwanya,swan,2265,N,gulwanya,swan,gulwaɲa,
Birrpayi,Birrpayi,guliwanga,swan,2265,N,guliwanga,swan,guliwanga,
Gga/Ngwl,Ngunawal,dyi-nyug,swan,2265,N,dyi-nyug,swan,ɟi-ɲug,
Gundungurra,Gundungurra,gi-nyug,swan,2265,N,gi-nyug,swan,gi-ɲug,
Gundungurra,Gundungurra,gi-nyag,swan,2265,N,gi-nyag,swan,gi-ɲag,
Gundungurra,Gundungurra,gi-nyug,swan,2265,N,gi-nyug,swan,gi-ɲug,
Gundungurra,Gundungurra,dyi-nyug,swan,2265,N,dyi-nyug,swan,ɟi-ɲug,
Dharawal,Dharawal,gunyung,swan,2265,N,gunyung,swan,guɲung,
Gundungurra,Gundungurra,gi-nyag,swan,2265,N,gi-nyag,swan,gi-ɲag,
Ngarigo,Ngarigu,gu-nyug,swan,2265,N,gu-nyug,swan,gu-ɲug,
Ngwl?,Ngunawal,gå-nyag,swan,2265,N,gå-nyag,swan,gå-ɲag,
Ngwl?,Ngunawal,dinag,swan,2265,N,dinag,swan,dinag,
Ngwl?,Ngunawal,dundu,swan,2265,N,dundu,swan,dundu,
Dhurga,Dhurga,gunyu,swan,2265,N,gunyu,swan,guɲu,
Ngarigu,Ngarigu,gunyug,swan,2265,,gunyug,bird: swan,guɲug,
Ngarrindjeri,Ngarrindjeri,kun-gari,swan,2265,N,kun-gari,swan,kun-gaɹi,
